                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5949,                 2.1114,                  1.588,                0.64721,                0.66291,                 0.6858,                0.29998,                 1.7881,                 2.3991,                 1.8505,             0.00066296,             0.00066296,             0.00066296
                      2,                 1.6242,                 1.6764,                 1.5608,                0.83752,                0.61345,                0.75075,                0.33652,                 1.8291,                 1.7599,                 1.8295,              0.0012419,              0.0012419,              0.0012419
                      3,                 1.5908,                 1.4773,                  1.547,                0.70959,                0.70837,                0.75832,                0.36607,                 1.7064,                 1.4175,                 1.7034,              0.0017328,              0.0017328,              0.0017328
                      4,                 1.5555,                 1.4121,                 1.5334,                0.71241,                0.75982,                0.78082,                0.32506,                 1.9691,                 1.6579,                  1.815,               0.001604,               0.001604,               0.001604
                      5,                 1.5133,                 1.3422,                 1.4899,                 0.7664,                 0.7563,                0.83858,                0.43458,                 1.5974,                 1.2082,                 1.5655,               0.001604,               0.001604,               0.001604
                      6,                 1.4549,                 1.1692,                 1.5171,                0.82545,                0.72269,                0.82258,                0.37692,                 1.7513,                 1.2305,                 1.6523,               0.001472,               0.001472,               0.001472
                      7,                 1.4088,                 1.1043,                  1.477,                0.79387,                 0.7479,                0.83523,                0.38632,                 1.6728,                 1.0864,                 1.6032,                0.00134,                0.00134,                0.00134
                      8,                 1.3558,                 1.0257,                 1.4382,                0.81091,                0.79285,                0.85488,                0.44072,                 1.5391,                 1.0412,                 1.4775,               0.001208,               0.001208,               0.001208
                      9,                  1.303,                0.94703,                 1.3805,                0.85763,                0.78151,                0.88294,                0.47127,                 1.5996,                0.95318,                 1.5402,               0.001076,               0.001076,               0.001076
                     10,                 1.2577,                0.89791,                 1.3537,                0.84733,                0.86555,                 0.9081,                 0.5087,                 1.4621,                0.90907,                 1.4142,               0.000944,               0.000944,               0.000944
                     11,                 1.2026,                0.83522,                  1.325,                0.92022,                0.82353,                0.91163,                0.51054,                 1.5142,                0.83578,                 1.4571,               0.000812,               0.000812,               0.000812
                     12,                 1.1585,                0.79252,                 1.2865,                0.84647,                0.83399,                0.89396,                0.44123,                 1.6944,                0.85672,                 1.6184,                0.00068,                0.00068,                0.00068
                     13,                 1.1306,                0.75319,                 1.2582,                0.88383,                0.86975,                0.93104,                0.52111,                 1.4219,                0.78011,                 1.4307,               0.000548,               0.000548,               0.000548
                     14,                 1.0837,                0.71643,                 1.2287,                0.90612,                0.84454,                0.91881,                0.50952,                 1.5609,                0.81452,                 1.5142,               0.000416,               0.000416,               0.000416
                     15,                 1.0395,                0.66781,                 1.2047,                0.88756,                0.82916,                0.90606,                 0.4866,                 1.5203,                0.79397,                 1.4837,               0.000284,               0.000284,               0.000284
